"Student Counts by District and Race"
"All Districts"
"2013-14"

"",,"Race",,,,,,,
"Darien School District","=""0350011""",9,182,25,185,0,30,4498,4929
"Deep River School District","=""0360011""",0,"*","*",28,0,"*",295,333
"Department of Mental Health and Addiction Services","=""3370015""",0,0,"*","*",0,"*","*","*"
"Derby School District","=""0370011""",0,33,238,379,7,49,816,1522
"East Granby School District","=""0400011""","*",42,68,54,0,"*",683,874
"East Haddam School District","=""0410011""","*",7,"*",23,0,9,1152,1199
"East Hampton School District","=""0420011""",0,33,"*",75,"*",32,1721,1877
"East Hartford School District","=""0430011""","*",364,2474,3039,"*",24,1233,7158
"East Haven School District","=""0440011""","*",145,91,651,"*",49,2185,3127
"East Lyme School District","=""0450011""","*",271,60,129,"*",48,2350,2868
"East Windsor School District","=""0470011""","*",61,128,159,0,"*",807,1216
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",17,60,0,11,272,366
"Eastford School District","=""0390011""","*","*","*","*",0,"*",142,152
"Easton School District","=""0460011""","*",48,10,53,"*",21,828,962
"Education Connection","=""2420014""","*","*",9,50,0,0,162,229
"Ellington School District","=""0480011""","*",150,108,116,0,"*",2208,2664
"Elm City College Preparatory School District","=""2890013""","*","*",470,137,0,"*",6,624
"Enfield School District","=""0490011""",20,138,290,571,8,232,3966,5225
"Essex School District","=""0500011""",0,15,"*",22,"*",17,449,510
"Explorations District","=""2720013""","*","*","*","*",0,"*",76,83
"Fairfield School District","=""0510011""","*",578,242,890,"*",283,8276,10288
"Farmington School District","=""0520011""",7,648,210,251,0,27,2893,4036
"Franklin School District","=""0530011""","*","*",0,14,"*","*",162,185
"Glastonbury School District","=""0540011""","*",611,187,477,"*",225,4895,6410
"Granby School District","=""0560011""",6,30,90,74,0,57,1808,2065
"Greenwich School District","=""0570011""","*",712,267,1672,"*",288,5834,8786
"Griswold School District","=""0580011""","*",31,60,109,"*",103,1655,1981
"Groton School District","=""0590011""",44,297,485,843,11,297,2725,4702
"Guilford School District","=""0600011""","*",131,40,212,"*",90,3063,3540
"Hamden School District","=""0620011""","*",474,1699,984,"*",225,2420,5811
"Hampton School District","=""0630011""",0,"*",0,10,0,"*",99,111
"Hartford School District","=""0640011""",68,674,6820,10880,34,691,2653,21820
"Hartland School District","=""0650011""","*","*","*","*",0,"*",192,205
"Hebron School District","=""0670011""","*",7,"*",34,0,21,801,868
"Highville Charter School District","=""2860013""",0,"*",341,10,0,"*","*",361
"Integrated Day Charter School District","=""2640013""","*",32,"*",47,0,29,193,330
"Interdistrict School for Arts and Comm District","=""2650013""","*","*",35,118,0,15,71,246
"Jumoke Academy District","=""2610013""","*",0,679,6,12,"*",0,704
"Kent School District","=""0680011""",0,6,0,18,0,16,232,272
"Killingly School District","=""0690011""",30,52,43,108,0,131,2307,2671
"Learn","=""2450014""",12,69,295,682,7,180,892,2137
"Lebanon School District","=""0710011""",20,18,16,44,"*","*",1055,1158
"Ledyard School District","=""0720011""",115,103,162,222,"*","*",1888,2580
"Lisbon School District","=""0730011""","*","*","*",23,"*",30,337,402
"Litchfield School District","=""0740011""",0,19,6,43,9,7,908,992
"Madison School District","=""0760011""","*",114,22,90,"*",87,2974,3297
"Manchester School District","=""0770011""","*",508,1379,1564,"*",269,2510,6256
"Mansfield School District","=""0780011""",0,133,"*",115,"*",52,925,1249
"Marlborough School District","=""0790011""",0,"*","*",33,0,22,543,605
"Meriden School District","=""0800011""",36,245,944,4028,25,171,2734,8183
"Middletown School District","=""0830011""","*",195,998,800,"*",246,2590,4847
"Milford School District","=""0840011""","*",567,321,383,"*",17,5133,6434
"Monroe School District","=""0850011""",13,125,43,234,0,78,2886,3379
"Montville School District","=""0860011""",43,217,67,206,8,220,1657,2418
"Naugatuck School District","=""0880011""","*",135,314,848,"*",196,2850,4356
"New Beginnings Inc., Family Academy District","=""2800013""",0,0,285,101,0,"*","*",402
"New Britain School District","=""0890011""",13,246,1370,6150,7,227,2123,10136
"New Canaan School District","=""0900011""","*",204,52,155,"*",71,3701,4192
"New Fairfield School District","=""0910011""",7,52,35,191,0,42,2403,2730
"New Hartford School District","=""0920011""",0,"*","*",19,0,12,504,545
"New Haven School District","=""0930011""",32,459,9182,8412,10,87,3238,21420
"New London School District","=""0950011""",20,37,748,1557,8,216,529,3115
"New Milford School District","=""0960011""","*",160,"*",482,0,105,3662,4504
"Newington School District","=""0940011""","*",386,233,709,"*",180,2728,4244
"Newtown School District","=""0970011""","*",185,"*",236,0,76,4364,4920
"Norfolk School District","=""0980011""",0,0,0,"*",0,0,"*",117
"North Branford School District","=""0990011""",6,47,50,85,0,7,1823,2018
"North Canaan School District","=""1000011""",0,"*","*",34,0,10,246,295
"North Haven School District","=""1010011""","*",239,129,212,"*",84,2732,3402
"North Stonington School District","=""1020011""","*",17,19,24,"*",9,673,751
"Norwalk School District","=""1030011""",8,539,2175,4374,7,170,3896,11169
"Norwich Free Academy District","=""9010022""",42,180,336,314,"*","*",1428,2324
"Norwich School District","=""1040011""",30,269,683,1062,10,384,1366,3804
"Odyssey Community School District","=""2630013""",0,33,73,51,0,10,158,325
"Old Saybrook School District","=""1060011""",0,72,"*",92,"*",30,1225,1446
"Orange School District","=""1070011""","*",139,"*",59,0,26,946,1192
"Oxford School District","=""1080011""","*",43,23,113,"*",40,1828,2053
"Park City Prep Charter School District","=""2830013""",0,"*",138,103,0,"*",13,260
"Plainfield School District","=""1090011""",27,66,112,21,"*","*",2230,2462
"Plainville School District","=""1100011""","*",56,116,328,"*",91,1742,2338
"Plymouth School District","=""1110011""","*",21,26,68,0,"*",1450,1577
"Pomfret School District","=""1120011""","*",13,7,11,0,"*",389,426
"Portland School District","=""1130011""","*",22,43,113,"*",46,1156,1382
"Preston School District","=""1140011""",11,9,9,"*","*",12,381,433
"Putnam School District","=""1160011""","*",15,12,84,"*",59,1089,1265
"Redding School District","=""1170011""","*",31,7,49,"*",67,903,1060
"Regional School District 01","=""2010012""","*",7,10,21,0,"*",392,432
"Regional School District 04","=""2040012""","*",14,15,57,0,"*",881,983
"Regional School District 05","=""2050012""","*",266,70,93,"*",28,1906,2372
"Regional School District 06","=""2060012""","*",6,10,30,"*",17,926,996
"Regional School District 07","=""2070012""","*",10,7,23,0,"*",1095,1139
"Regional School District 08","=""2080012""",0,29,8,42,0,11,1653,1743
"Regional School District 09","=""2090012""",6,35,9,47,0,18,967,1082
"Regional School District 10","=""2100012""","*",60,12,75,"*",11,2414,2577
"Regional School District 11","=""2110012""","*","*",8,25,"*","*",252,295
"Regional School District 12","=""2120012""",0,11,10,34,"*","*",734,800
"Regional School District 13","=""2130012""","*",28,"*",76,0,63,1698,1875
"Regional School District 14","=""2140012""","*",38,12,51,0,"*",1795,1905
"Regional School District 15","=""2150012""","*",204,57,176,"*",35,3519,4002
"Regional School District 16","=""2160012""","*",35,54,110,0,"*",2147,2352
"Regional School District 17","=""2170012""","*",53,39,"*",0,40,2127,2281
"Regional School District 18","=""2180012""","*",47,"*",51,0,26,1276,1411
"Regional School District 19","=""2190012""","*",60,24,77,"*",7,1033,1205
"Ridgefield School District","=""1180011""","*",302,33,284,"*",92,4576,5293
"Rocky Hill School District","=""1190011""",6,426,66,195,0,35,1697,2425
"Salem School District","=""1210011""","*",19,13,15,"*",10,374,435
"Salisbury School District","=""1220011""",0,"*","*",19,0,27,222,280
"Scotland School District","=""1230011""",0,0,"*","*",0,"*",125,133
"Seymour School District","=""1240011""","*",84,97,236,0,"*",1860,2306
"Sharon School District","=""1250011""",0,"*","*","*",0,"*",167,177
"Shelton School District","=""1260011""","*",328,194,471,"*",52,3925,4982
"Sherman School District","=""1270011""",0,"*",0,"*",0,13,348,373
"Side By Side Charter School District","=""2700013""",0,18,62,97,"*","*",42,235
"Simsbury School District","=""1280011""",0,250,228,223,"*","*",3615,4377
"Somers School District","=""1290011""","*",23,32,47,"*",24,1386,1515
"South Windsor School District","=""1320011""","*",563,258,306,"*",149,2997,4287
"Southington School District","=""1310011""","*",219,130,423,"*",176,5743,6704
"Sprague School District","=""1330011""","*","*","*",52,0,31,272,365
"Stafford School District","=""1340011""","*",21,17,78,"*",33,1474,1634
"Stamford Academy District","=""2820013""",0,0,89,53,0,"*","*",147
"Stamford School District","=""1350011""","*",1357,3067,5956,"*",181,5352,15927
"Sterling School District","=""1360011""","*","*","*",16,0,18,441,485
"Stonington School District","=""1370011""","*",63,48,72,"*",31,2104,2320
"Stratford School District","=""1380011""","*",224,1521,1945,"*",199,3308,7216
"Suffield School District","=""1390011""","*",65,87,117,0,"*",2137,2429
"The Bridge Academy District","=""2690013""","*","*",153,102,"*",12,"*",277
"The Gilbert School District","=""9020022""","*",34,"*",68,0,22,398,537
"Thomaston School District","=""1400011""","*",9,7,21,"*",11,898,950
"Thompson School District","=""1410011""","*","*","*",39,0,34,996,1079
"Tolland School District","=""1420011""",6,94,41,77,"*","*",2509,2732
"Torrington School District","=""1430011""",10,146,175,892,7,146,2977,4353
"Trailblazers Academy District","=""2780013""",0,"*",89,63,0,"*",6,162
"Trumbull School District","=""1440011""","*",518,309,571,"*",24,5387,6824
"Unified School District #1","=""3360015""",0,0,281,192,0,14,52,539
"Unified School District #2","=""3470015""","*","*",97,62,"*","*",60,228
"Union School District","=""1450011""",0,0,"*","*",0,0,76,78
"Vernon School District","=""1460011""",6,168,417,424,0,84,2251,3350
"Voluntown School District","=""1470011""","*","*",7,12,"*",14,273,310
"Wallingford School District","=""1480011""","*",305,147,875,"*",31,4735,6108
"Waterbury School District","=""1510011""",81,290,4472,9258,12,610,3983,18706
"Waterford School District","=""1520011""",23,137,102,220,0,63,2027,2572
"Watertown School District","=""1530011""",6,66,65,208,0,76,2511,2932
"West Hartford School District","=""1550011""","*",1116,833,1565,"*",302,6077,9919
"West Haven School District","=""1560011""","*",218,1335,1952,"*",229,2261,6010
"Westbrook School District","=""1540011""","*",15,"*",78,0,14,728,839
"Weston School District","=""1570011""","*",87,"*",76,0,70,2143,2421
"Westport School District","=""1580011""","*",307,"*",244,0,132,5003,5786
"Wethersfield School District","=""1590011""","*",171,153,554,"*",70,2767,3727
"Willington School District","=""1600011""",0,"*","*",17,0,13,416,458
"Wilton School District","=""1610011""","*",336,53,123,"*",65,3717,4299
"Winchester School District","=""1620011""","*","*",12,57,"*","*",574,652
"Windham School District","=""1630011""",17,29,143,2172,0,76,836,3273
"Windsor Locks School District","=""1650011""","*",139,152,179,"*",72,1138,1687
"Windsor School District","=""1640011""","*",141,1499,523,"*",143,970,3283
"Wolcott School District","=""1660011""","*","*",58,112,0,85,2184,2491
"Woodbridge School District","=""1670011""","*",109,28,36,"*",15,573,770
"Woodstock Academy District","=""9030022""","*",102,"*",29,0,17,878,1033
"Woodstock School District","=""1690011""",0,8,6,27,0,30,833,904
"Total","=""""",1517,25564,71294,116712,455,13000,321335,549877

